EbN0_dB,BER_info,BER_bpsk
-2.0,2.0664453125e-001,1.3064448852e-001
-1.5,1.8887695313e-001,1.1704040806e-001
-1.0,1.7120898438e-001,1.0375909595e-001
-0.5,1.5296289062e-001,9.0921205158e-002
0.0,1.3026367187e-001,7.8649603525e-002
0.5,1.0295898438e-001,6.7065198330e-002
1.0,5.7757812500e-002,5.6281951977e-002
1.5,1.6066406250e-002,4.6401275956e-002
2.0,1.2753906250e-003,3.7506128359e-002
2.5,0.0000000000e+000,2.9655287626e-002
3.0,0.0000000000e+000,2.2878407561e-002
3.5,0.0000000000e+000,1.7172541679e-002
4.0,0.0000000000e+000,1.2500818041e-002
4.5,0.0000000000e+000,8.7938105306e-003
5.0,0.0000000000e+000,5.9538671478e-003
5.5,0.0000000000e+000,3.8622316428e-003
6.0,0.0000000000e+000,2.3882907809e-003
6.5,0.0000000000e+000,1.3998048395e-003
7.0,0.0000000000e+000,7.7267481538e-004
7.5,0.0000000000e+000,3.9879633516e-004
8.0,0.0000000000e+000,1.9090777408e-004
8.5,0.0000000000e+000,8.3999539179e-005
9.0,0.0000000000e+000,3.3627228420e-005
9.5,0.0000000000e+000,1.2108893277e-005
10.0,0.0000000000e+000,3.8721082155e-006
